Animal,Brunno,SAMBA Brunno,date,genotype,sex,DOB,T1MEMRIRARE,T1map,T1map.1,Proportional Hippocampal Volume,Proportional Lateral Ventricle Volume,Proportional Ectorhinal Cortex Volume,Proportional Cerebellum Volume,Total Volume
191212-4,B50032,B53245,,CVN,1,12/24/18,58,62,63,0.002175725,0.000995443,0.010125788,0.000477504,519.3670024
191212-5,B50032,B53257,,CVN,1,12/24/18,74,78,,0.001984584,9.44E-05,0.010662465,0.000470085,508.4190016
191212-6,B50032,B53269,,CVN,1,12/31/18,90,93,94,0.001946412,8.93E-05,0.010647348,0.000472836,526.6100026
191212-7,B50032,B53279,,CVN,1,12/31/18,99,106,105,0.00179911,0.00079102,0.000167402,0.000469093,543.6020023
191212-8,B50032,B53281,,CVN,1,12/31/18,115,117,118,0.001927253,0.000117048,0.006264076,0.000425812,495.5240016
191212-9,B50032,B53291,,CVN,1,12/31/18,127,129,12?,0.001878639,8.27E-05,0.006294098,0.00047201,531.768001
,,,,,,,,,,,,,,
191205-1,B50030,B52715,,,,,52,,,0.001761751,0.000858781,0.000170988,0.000407297,520.5050028
191205-2,B50028,B52824,,,,,45,,,0.002000739,0.000985468,0.010327549,0.000466905,503.3140016
191205-2,B50030,B52825,,,,,53,,,0.001927786,8.42E-05,0.006149004,0.000426908,
191205-3,B50030,B52836,,,,,62,,,0.001834866,0.000983315,0.010320875,0.000414959,508.4840026
